v1,v2,v3,v4,Action
366,293,298,381,Yo
367,291,299,394,Yo
367,293,298,394,Yo
367,293,298,392,Yo
367,294,298,392,Yo
367,294,298,392,Yo
368,294,298,392,Yo
367,295,298,392,Yo
368,295,299,393,Yo
370,297,300,393,Yo
368,296,299,393,Yo
368,296,299,393,Yo
369,296,299,393,Yo
369,296,300,393,Yo
369,297,300,393,Yo
369,296,300,393,Yo
370,297,300,393,Yo
370,296,300,393,Yo
370,297,299,393,Yo
370,296,299,393,Yo
369,296,298,393,Yo
369,296,298,379,Yo
369,296,298,376,Yo
369,294,298,392,Yo
368,296,298,392,Yo
368,296,297,392,Yo
369,296,298,392,Yo
369,296,298,392,Yo
369,296,298,392,Yo
369,295,298,392,Yo
369,296,298,392,Yo
369,295,298,392,Yo
368,295,297,392,Yo
369,296,299,393,Yo
369,296,298,393,Yo
369,296,299,393,Yo
369,295,299,393,Yo
369,295,298,393,Yo
369,296,298,393,Yo
369,296,299,393,Yo
369,295,299,392,Yo
369,295,299,393,Yo
369,294,299,393,Yo
369,295,299,393,Yo
369,272,299,392,Yo
369,272,299,393,Yo
370,273,300,393,Yo
370,273,299,393,Yo
370,273,300,393,Yo
370,273,299,393,Yo
370,298,298,392,Yo
368,298,297,391,Yo
369,297,297,391,Yo
368,297,297,391,Yo
367,294,297,392,Yo
367,294,296,391,Yo
368,295,297,392,Yo
368,293,297,392,Yo
367,287,297,391,Yo
368,283,298,392,Yo
368,294,297,392,Yo
367,293,297,371,Yo
367,294,297,371,Yo
367,292,297,390,Yo
367,292,296,391,Yo
366,291,296,390,Yo
367,283,297,391,Yo
367,276,297,391,Yo
366,271,296,391,Yo
367,273,297,390,Yo
367,273,297,390,Yo
366,272,297,391,Yo
367,280,297,391,Yo
365,276,296,390,Yo
367,275,298,391,Yo
366,275,296,391,Yo
366,291,296,391,Yo
367,289,297,389,Yo
367,286,298,391,Yo
367,290,299,390,Yo
368,273,299,392,Yo
368,312,297,391,Yo
368,313,303,394,Yo
368,312,304,394,Yo
369,273,304,395,Yo
369,273,304,395,Yo
369,273,304,395,Yo
370,273,311,398,Yo
370,273,311,398,Yo
370,273,310,398,Yo
371,273,312,398,Yo
370,311,310,396,Yo
370,273,311,394,Yo
370,304,310,397,Yo
369,312,310,396,Yo
370,315,311,395,Yo
370,299,310,386,Yo
370,305,311,394,Yo
370,292,311,397,Yo
371,301,312,398,Yo
489.0,218.0,185.0,322.0,Anti-Yo
492.0,219.0,179.0,335.0,Anti-Yo
491.0,218.0,176.0,334.0,Anti-Yo
491.0,218.0,175.0,333.0,Anti-Yo
491.0,219.0,171.0,332.0,Anti-Yo
490.0,219.0,168.0,331.0,Anti-Yo
490.0,218.0,166.0,330.0,Anti-Yo
490.0,218.0,169.0,330.0,Anti-Yo
490.0,219.0,167.0,329.0,Anti-Yo
491.0,218.0,167.0,329.0,Anti-Yo
490.0,218.0,162.0,328.0,Anti-Yo
490.0,218.0,158.0,326.0,Anti-Yo
492.0,218.0,155.0,325.0,Anti-Yo
492.0,218.0,154.0,324.0,Anti-Yo
492.0,218.0,154.0,324.0,Anti-Yo
491.0,218.0,151.0,323.0,Anti-Yo
490.0,218.0,151.0,322.0,Anti-Yo
490.0,218.0,151.0,323.0,Anti-Yo
490.0,218.0,150.0,323.0,Anti-Yo
490.0,218.0,150.0,323.0,Anti-Yo
490.0,218.0,150.0,323.0,Anti-Yo
488.0,218.0,149.0,322.0,Anti-Yo
488.0,218.0,149.0,322.0,Anti-Yo
489.0,218.0,147.0,321.0,Anti-Yo
489.0,218.0,147.0,322.0,Anti-Yo
488.0,218.0,148.0,321.0,Anti-Yo
488.0,219.0,147.0,321.0,Anti-Yo
488.0,219.0,145.0,321.0,Anti-Yo
488.0,218.0,145.0,320.0,Anti-Yo
488.0,218.0,144.0,320.0,Anti-Yo
488.0,219.0,145.0,320.0,Anti-Yo
488.0,218.0,145.0,320.0,Anti-Yo
488.0,218.0,145.0,321.0,Anti-Yo
488.0,219.0,144.0,321.0,Anti-Yo
488.0,219.0,144.0,320.0,Anti-Yo
488.0,219.0,145.0,320.0,Anti-Yo
488.0,219.0,144.0,320.0,Anti-Yo
488.0,219.0,144.0,316.0,Anti-Yo
488.0,219.0,145.0,320.0,Anti-Yo
488.0,219.0,144.0,320.0,Anti-Yo
491.0,218.0,146.0,320.0,Anti-Yo
491.0,219.0,151.0,323.0,Anti-Yo
491.0,219.0,152.0,323.0,Anti-Yo
490.0,219.0,153.0,324.0,Anti-Yo
490.0,219.0,154.0,324.0,Anti-Yo
489.0,219.0,154.0,324.0,Anti-Yo
489.0,219.0,155.0,324.0,Anti-Yo
489.0,219.0,156.0,324.0,Anti-Yo
492.0,219.0,161.0,327.0,Anti-Yo
491.0,219.0,161.0,327.0,Anti-Yo
490.0,219.0,191.0,339.0,Anti-Yo
482.0,218.0,160.0,328.0,Anti-Yo
479.0,219.0,164.0,324.0,Anti-Yo
479.0,219.0,162.0,323.0,Anti-Yo
479.0,219.0,163.0,324.0,Anti-Yo
479.0,219.0,163.0,324.0,Anti-Yo
479.0,219.0,162.0,324.0,Anti-Yo
479.0,219.0,162.0,324.0,Anti-Yo
479.0,219.0,162.0,324.0,Anti-Yo
479.0,219.0,163.0,324.0,Anti-Yo
479.0,219.0,163.0,324.0,Anti-Yo
479.0,219.0,163.0,324.0,Anti-Yo
479.0,219.0,163.0,325.0,Anti-Yo
479.0,218.0,163.0,324.0,Anti-Yo
483.0,219.0,158.0,324.0,Anti-Yo
484.0,219.0,158.0,324.0,Anti-Yo
484.0,219.0,159.0,324.0,Anti-Yo
484.0,219.0,160.0,324.0,Anti-Yo
483.0,221.0,161.0,325.0,Anti-Yo
483.0,222.0,161.0,325.0,Anti-Yo
483.0,222.0,162.0,325.0,Anti-Yo
483.0,222.0,162.0,325.0,Anti-Yo
483.0,222.0,160.0,325.0,Anti-Yo
486.0,222.0,166.0,325.0,Anti-Yo
486.0,222.0,164.0,325.0,Anti-Yo
486.0,222.0,165.0,325.0,Anti-Yo
486.0,223.0,165.0,325.0,Anti-Yo
486.0,222.0,165.0,325.0,Anti-Yo
486.0,222.0,165.0,325.0,Anti-Yo
485.0,222.0,166.0,326.0,Anti-Yo
485.0,222.0,166.0,325.0,Anti-Yo
485.0,223.0,166.0,325.0,Anti-Yo
485.0,222.0,166.0,325.0,Anti-Yo
485.0,222.0,166.0,326.0,Anti-Yo
485.0,222.0,165.0,326.0,Anti-Yo
485.0,222.0,169.0,326.0,Anti-Yo
485.0,222.0,162.0,325.0,Anti-Yo
485.0,222.0,162.0,326.0,Anti-Yo
485.0,222.0,163.0,326.0,Anti-Yo
485.0,222.0,165.0,326.0,Anti-Yo
486.0,221.0,164.0,326.0,Anti-Yo
485.0,221.0,166.0,325.0,Anti-Yo
482.0,220.0,159.0,325.0,Anti-Yo
482.0,220.0,158.0,325.0,Anti-Yo
482.0,220.0,158.0,325.0,Anti-Yo
481.0,220.0,158.0,325.0,Anti-Yo
481.0,220.0,159.0,325.0,Anti-Yo
481.0,220.0,160.0,326.0,Anti-Yo
482.0,220.0,158.0,326.0,Anti-Yo
481.0,220.0,158.0,325.0,Anti-Yo
