v1,v2,v3,v4,Action
366,293,298,372,Yo
367,291,299,372,Yo
367,293,298,372,Yo
367,293,298,372,Yo
367,294,298,372,Yo
367,294,298,372,Yo
368,294,298,372,Yo
367,295,298,372,Yo
368,295,299,372,Yo
370,297,300,372,Yo
368,296,299,372,Yo
368,296,299,372,Yo
369,296,299,372,Yo
369,296,300,372,Yo
369,297,300,372,Yo
369,296,300,372,Yo
370,297,300,372,Yo
370,296,300,372,Yo
370,297,299,372,Yo
370,296,299,372,Yo
369,296,298,372,Yo
369,296,298,372,Yo
369,296,298,372,Yo
369,294,298,372,Yo
368,296,298,372,Yo
368,296,297,372,Yo
369,296,298,372,Yo
369,296,298,372,Yo
369,296,298,372,Yo
369,295,298,372,Yo
369,296,298,372,Yo
369,295,298,372,Yo
368,295,297,372,Yo
369,296,299,372,Yo
369,296,298,372,Yo
369,296,299,372,Yo
369,295,299,372,Yo
369,295,298,372,Yo
369,296,298,372,Yo
369,296,299,372,Yo
369,295,299,372,Yo
369,295,299,372,Yo
369,294,299,372,Yo
369,295,299,372,Yo
369,272,299,372,Yo
369,272,299,372,Yo
370,273,300,372,Yo
370,273,299,372,Yo
370,273,300,372,Yo
370,273,299,372,Yo
370,298,298,372,Yo
368,298,297,372,Yo
369,297,297,372,Yo
368,297,297,372,Yo
367,294,297,372,Yo
367,294,296,372,Yo
368,295,297,372,Yo
368,293,297,372,Yo
367,287,297,372,Yo
368,283,298,372,Yo
368,294,297,372,Yo
367,293,297,372,Yo
367,294,297,372,Yo
367,292,297,372,Yo
367,292,296,372,Yo
366,291,296,372,Yo
367,283,297,372,Yo
367,276,297,372,Yo
366,271,296,372,Yo
367,273,297,372,Yo
367,273,297,372,Yo
366,272,297,372,Yo
367,280,297,372,Yo
365,276,296,372,Yo
367,275,298,372,Yo
366,275,296,372,Yo
366,291,296,372,Yo
367,289,297,372,Yo
367,286,298,372,Yo
367,290,299,372,Yo
368,273,299,372,Yo
368,312,297,372,Yo
368,313,303,372,Yo
368,312,304,372,Yo
369,273,304,372,Yo
369,273,304,372,Yo
369,273,304,372,Yo
370,273,311,372,Yo
370,273,311,372,Yo
370,273,310,372,Yo
371,273,312,372,Yo
370,311,310,372,Yo
370,273,311,372,Yo
